,Name,N,Model Index,p,Tau,Lambda,MSE,NRMSE
294,Soft Trimodal,200,3,2,5,0.0,0.0010388129157945514,8.593710049623049
295,Soft Trimodal,200,3,2,10,0.0,0.002840348519384861,15.9478022768323
296,Soft Trimodal,200,3,5,1,0.2,0.00011764506052713841,22.60097716252932
297,Soft Trimodal,200,3,5,2,0.0,2.3982547645573504e-05,11.951338331544257
298,Soft Trimodal,200,3,5,5,0.2,6.223280070116743e-05,18.325396582669345
299,Soft Trimodal,200,3,5,10,0.0,6.372328789439052e-05,19.344493845502186
300,Soft Trimodal,200,3,10,1,0.2,9.413178503336894e-08,22.92639323652845
301,Soft Trimodal,200,3,10,2,0.0,4.253775500728807e-07,18.046107261808224
302,Soft Trimodal,200,3,10,5,0.2,3.268358170771535e-07,20.617869861292352
303,Soft Trimodal,200,3,10,10,0.05,6.073631766412291e-07,22.131710780468655
304,Edgy trimodal,200,4,1,1,0.15,0.04189368337392807,22.41344775755973
305,Edgy trimodal,200,4,1,2,0.0,1.6550337704757112e-06,0.12945257360586124
306,Edgy trimodal,200,4,1,5,0.0,0.00013206052244640887,1.1501125135528574
307,Edgy trimodal,200,4,1,10,0.0,0.036558717489242554,19.894635176073535
308,Edgy trimodal,200,4,2,1,0.1,0.006873735226690769,22.300312207692226
309,Edgy trimodal,200,4,2,2,0.0,7.798310252837837e-05,2.6871392651135046
310,Edgy trimodal,200,4,2,5,0.0,0.0007361312163993716,6.6486911030509654
311,Edgy trimodal,200,4,2,10,0.0,0.005198926664888859,20.873000728784255
312,Edgy trimodal,200,4,5,1,0.2,4.647089008358307e-05,22.386498251291517
313,Edgy trimodal,200,4,5,2,0.0,2.0611172658391297e-05,9.631238624719515
314,Edgy trimodal,200,4,5,5,0.0,3.890112566296011e-05,14.788114796464033
315,Edgy trimodal,200,4,5,10,0.2,0.00010316045518266037,22.320057505325018
316,Edgy trimodal,200,4,10,1,0.1,1.3989061642405431e-07,22.293969759701486
317,Edgy trimodal,200,4,10,2,0.0,2.0285179402890208e-07,15.382930540113387
318,Edgy trimodal,200,4,10,5,0.0,1.8350570485381468e-07,18.61363416179077
319,Edgy trimodal,200,4,10,10,0.2,3.1612700013283757e-07,22.522076436286977
320,Vanilla,250,0,1,1,0.2,0.04906832054257393,22.35591001606699
321,Vanilla,250,0,1,2,0.05,0.04656881093978882,22.60276080797605
322,Vanilla,250,0,1,5,0.1,0.04111922159790993,22.366406372799435
323,Vanilla,250,0,1,10,0.15,0.04275159537792206,22.340844025407325
324,Vanilla,250,0,2,1,0.2,0.006107722874730825,22.208670302859055
325,Vanilla,250,0,2,2,0.2,0.007058489602059126,22.91048892821119
326,Vanilla,250,0,2,5,0.2,0.007980061694979668,22.507573866315674
327,Vanilla,250,0,2,10,0.2,0.006077958270907402,22.26271773782839
328,Vanilla,250,0,5,1,0.2,7.597889634780586e-05,22.1596511791332
329,Vanilla,250,0,5,2,0.2,4.352320320322178e-05,22.201502376273364
