,Name,N,Model Index,Log Nu,Tau,Lambda,MSE,NRMSE
2339,Gaussian,200,1,0.5,10,0.0,0.005140041466802359,2.4593219601099414
2340,Hard Bimodal,200,2,-2.0,1,0.0,4.255813410014575e-11,0.0022560559332338937
2341,Hard Bimodal,200,2,-2.0,2,0.0,3.806526649441366e-09,0.022523586608205932
2342,Hard Bimodal,200,2,-2.0,5,0.0,1.120258389164519e-06,0.3654404125342216
2343,Hard Bimodal,200,2,-2.0,10,0.0,0.001274743815883994,13.022732153214816
2344,Hard Bimodal,200,2,-1.0,1,0.0,3.7806516250959987e-10,0.0025788862103853162
2345,Hard Bimodal,200,2,-1.0,2,0.05,7.258044661284657e-06,0.35195884615262885
2346,Hard Bimodal,200,2,-1.0,5,0.0,1.3319823665369768e-05,0.4754988416312676
2347,Hard Bimodal,200,2,-1.0,10,0.0,0.009964662604033947,13.082470389576299
2348,Hard Bimodal,200,2,-0.5,1,0.0,2.843206337033166e-09,0.004465692791631623
2349,Hard Bimodal,200,2,-0.5,2,0.0,3.49741725358399e-07,0.04833604576141259
2350,Hard Bimodal,200,2,-0.5,5,0.0,1.6890602637431584e-05,0.3436840926190651
2351,Hard Bimodal,200,2,-0.5,10,0.0,0.024534758180379868,12.434576716564067
2352,Hard Bimodal,200,2,0.0,1,0.0,4.697662703279093e-08,0.01072262613929801
2353,Hard Bimodal,200,2,0.0,2,0.0,3.48567823493795e-06,0.09416690653461665
2354,Hard Bimodal,200,2,0.0,5,0.0,8.091211930150166e-05,0.4655929106337298
2355,Hard Bimodal,200,2,0.0,10,0.0,0.05846028029918671,12.526360145163004
2356,Hard Bimodal,200,2,0.5,1,0.0,8.072917125900858e-07,0.03161615386427511
2357,Hard Bimodal,200,2,0.5,2,0.0,3.2953134905255865e-06,0.06348507897392532
2358,Hard Bimodal,200,2,0.5,5,0.0,0.0006146858795545995,0.8865798303619962
2359,Hard Bimodal,200,2,0.5,10,0.0,0.11951790004968643,11.9399028177316
2360,Soft Trimodal,200,3,-2.0,1,0.0,8.089280356671225e-09,0.03244526124507439
2361,Soft Trimodal,200,3,-2.0,2,0.0,1.0522896332076925e-07,0.11559072450430728
2362,Soft Trimodal,200,3,-2.0,5,0.0,1.7779208292267867e-06,0.48207677629287293
2363,Soft Trimodal,200,3,-2.0,10,0.0,7.729731441941112e-05,3.2237915258850354
2364,Soft Trimodal,200,3,-1.0,1,0.0,5.54708847744223e-08,0.03191095294709666
